H_km,n_He,n_O,n_N2,n_O2,n_Ar,n_H,n_N,n_Anomal_O,T_K,rho
0,1.41E+20,0.00E+00,2.10E+25,5.65E+24,2.52E+23,0.00E+00,0.00E+00,0.00E+00,3.00E+02,1.29E+00
20,1.14E+19,0.00E+00,1.71E+24,4.57E+23,2.04E+22,0.00E+00,0.00E+00,0.00E+00,2.06E+02,1.05E-01
40,4.90E+17,0.00E+00,7.31E+22,1.96E+22,8.74E+20,0.00E+00,0.00E+00,0.00E+00,2.57E+02,4.49E-03
60,3.98E+16,0.00E+00,5.92E+21,1.59E+21,7.09E+19,0.00E+00,0.00E+00,0.00E+00,2.45E+02,3.64E-04
80,2.34E+15,4.36E+15,3.39E+20,8.15E+19,4.02E+18,2.51E+13,1.23E+11,2.04E-50,1.93E+02,2.03E-05
100,1.21E+14,5.70E+17,9.71E+18,1.72E+18,9.73E+16,1.43E+13,5.38E+11,1.57E-36,2.02E+02,5.64E-07
120,3.61E+13,1.15E+17,3.72E+17,3.37E+16,1.62E+15,2.13E+12,3.08E+12,1.36E-26,3.80E+02,2.22E-08
140,2.09E+13,3.51E+16,6.07E+16,3.02E+15,1.43E+14,3.93E+11,1.76E+13,2.12E-18,7.10E+02,3.93E-09
160,1.59E+13,1.86E+16,2.17E+16,6.80E+14,3.51E+13,1.24E+11,5.84E+13,9.74E-12,9.16E+02,1.54E-09
180,1.34E+13,1.15E+16,1.00E+16,2.29E+14,1.21E+13,6.34E+10,1.02E+14,1.26E-06,1.05E+03,7.87E-10
200,1.17E+13,7.72E+15,5.24E+15,9.68E+13,4.91E+12,4.52E+10,1.18E+14,1.05E-02,1.14E+03,4.57E-10
220,1.05E+13,5.42E+15,2.93E+15,4.65E+13,2.18E+12,3.83E+10,1.09E+14,1.06E+01,1.19E+03,2.86E-10
240,9.62E+12,3.93E+15,1.71E+15,2.42E+13,1.03E+12,3.51E+10,9.18E+13,2.11E+03,1.23E+03,1.87E-10
260,8.85E+12,2.90E+15,1.03E+15,1.32E+13,5.02E+11,3.34E+10,7.39E+13,1.22E+05,1.25E+03,1.27E-10
280,8.19E+12,2.17E+15,6.30E+14,7.43E+12,2.52E+11,3.23E+10,5.87E+13,2.68E+06,1.27E+03,8.87E-11
300,7.60E+12,1.64E+15,3.91E+14,4.28E+12,1.30E+11,3.15E+10,4.65E+13,2.84E+07,1.28E+03,6.31E-11
320,7.07E+12,1.25E+15,2.46E+14,2.51E+12,6.77E+10,3.08E+10,3.70E+13,1.71E+08,1.29E+03,4.56E-11
340,6.59E+12,9.53E+14,1.56E+14,1.49E+12,3.59E+10,3.02E+10,2.95E+13,6.65E+08,1.30E+03,3.34E-11
360,6.16E+12,7.32E+14,1.00E+14,8.94E+11,1.93E+10,2.97E+10,2.36E+13,1.85E+09,1.30E+03,2.47E-11
380,5.75E+12,5.65E+14,6.44E+13,5.41E+11,1.05E+10,2.91E+10,1.90E+13,4.00E+09,1.30E+03,1.85E-11
400,5.38E+12,4.37E+14,4.18E+13,3.30E+11,5.75E+09,2.86E+10,1.54E+13,7.10E+09,1.30E+03,1.40E-11
420,5.04E+12,3.39E+14,2.73E+13,2.03E+11,3.18E+09,2.82E+10,1.24E+13,1.08E+10,1.30E+03,1.06E-11
440,4.72E+12,2.64E+14,1.79E+13,1.26E+11,1.78E+09,2.77E+10,1.01E+13,1.47E+10,1.31E+03,8.13E-12
460,4.42E+12,2.06E+14,1.18E+13,7.84E+10,1.00E+09,2.72E+10,8.21E+12,1.82E+10,1.31E+03,6.26E-12
480,4.14E+12,1.62E+14,7.85E+12,4.91E+10,5.66E+08,2.68E+10,6.69E+12,2.11E+10,1.31E+03,4.84E-12
500,3.89E+12,1.27E+14,5.23E+12,3.10E+10,3.23E+08,2.64E+10,5.47E+12,2.32E+10,1.31E+03,3.76E-12
520,3.65E+12,9.97E+13,3.50E+12,1.96E+10,1.85E+08,2.60E+10,4.48E+12,2.45E+10,1.31E+03,2.94E-12
540,3.43E+12,7.86E+13,2.36E+12,1.25E+10,1.07E+08,2.55E+10,3.67E+12,2.51E+10,1.31E+03,2.31E-12
560,3.22E+12,6.21E+13,1.59E+12,8.01E+09,6.21E+07,2.51E+10,3.02E+12,2.51E+10,1.31E+03,1.82E-12
580,3.02E+12,4.92E+13,1.08E+12,5.15E+09,3.62E+07,2.48E+10,2.48E+12,2.47E+10,1.31E+03,1.43E-12
600,2.84E+12,3.91E+13,7.34E+11,3.33E+09,2.13E+07,2.44E+10,2.04E+12,2.39E+10,1.31E+03,1.14E-12
620,2.67E+12,3.11E+13,5.02E+11,2.16E+09,1.25E+07,2.40E+10,1.69E+12,2.29E+10,1.31E+03,9.06E-13
640,2.52E+12,2.48E+13,3.44E+11,1.41E+09,7.41E+06,2.36E+10,1.39E+12,2.18E+10,1.31E+03,7.23E-13
660,2.37E+12,1.98E+13,2.37E+11,9.19E+08,4.41E+06,2.33E+10,1.15E+12,2.06E+10,1.31E+03,5.79E-13
680,2.23E+12,1.58E+13,1.63E+11,6.03E+08,2.63E+06,2.29E+10,9.57E+11,1.94E+10,1.31E+03,4.65E-13
