H_km,rho
0,1.07E+00
20,8.68E-02
40,3.72E-03
60,3.01E-04
80,1.68E-05
100,6.18E-07
120,1.88E-08
140,3.08E-09
160,9.49E-10
180,3.70E-10
200,1.63E-10
220,7.80E-11
240,3.97E-11
260,2.13E-11
280,1.18E-11
300,6.80E-12
320,4.01E-12
340,2.41E-12
360,1.47E-12
380,9.14E-13
400,5.75E-13
420,3.66E-13
440,2.35E-13
460,1.53E-13
480,1.01E-13
500,6.79E-14
520,4.63E-14
540,3.21E-14
560,2.28E-14
580,1.65E-14
600,1.23E-14
620,9.37E-15
640,7.33E-15
660,5.88E-15
680,4.83E-15
700,4.04E-15
720,3.44E-15
740,2.98E-15
760,2.61E-15
780,2.31E-15
800,2.06E-15
820,1.85E-15
840,1.67E-15
860,1.51E-15
880,1.38E-15
900,1.26E-15
